100 1050
41 19 1
41 21 1
41 44 1
41 60 1
41 74 1
41 76 1
41 89 1
41 97 1
42 12 1
42 50 1
42 57 1
42 73 1
42 8 1
42 9 1
43 10 1
43 12 1
43 27 1
43 51 1
43 61 1
43 64 1
43 68 1
43 82 1
43 93 1
43 97 1
44 14 1
44 25 1
44 31 1
44 49 1
44 52 1
44 55 1
44 56 1
44 69 1
44 75 1
44 77 1
44 82 1
44 92 1
45 16 1
45 19 1
45 22 1
45 29 1
45 3 1
45 32 1
45 65 1
45 72 1
46 12 1
46 25 1
46 38 1
46 39 1
46 49 1
46 52 1
46 53 1
46 74 1
46 78 1
46 79 1
46 82 1
46 86 1
47 100 1
47 10 1
47 28 1
47 35 1
47 43 1
47 56 1
47 63 1
47 74 1
47 94 1
47 97 1
48 12 1
48 14 1
48 36 1
48 43 1
48 46 1
48 65 1
48 70 1
48 75 1
48 78 1
48 81 1
49 12 1
49 21 1
49 22 1
49 25 1
49 54 1
49 59 1
49 66 1
49 70 1
49 76 1
49 82 1
50 12 1
50 17 1
50 48 1
50 6 1
50 72 1
50 73 1
50 80 1
50 98 1
51 22 1
51 30 1
51 36 1
51 47 1
51 58 1
51 60 1
51 70 1
51 74 1
51 75 1
51 93 1
51 95 1
52 14 1
52 21 1
52 25 1
52 3 1
52 40 1
52 43 1
52 62 1
52 74 1
52 84 1
52 93 1
53 23 1
53 42 1
53 44 1
53 50 1
53 62 1
53 7 1
53 80 1
54 100 1
54 21 1
54 22 1
54 26 1
54 35 1
54 82 1
54 90 1
55 28 1
55 30 1
55 42 1
55 50 1
55 64 1
55 73 1
55 74 1
55 77 1
55 8 1
55 86 1
55 88 1
55 93 1
56 12 1
56 2 1
56 27 1
56 3 1
56 50 1
56 68 1
56 70 1
56 73 1
56 78 1
56 80 1
56 8 1
56 91 1
56 92 1
57 100 1
57 18 1
57 64 1
57 71 1
57 81 1
57 83 1
57 88 1
57 93 1
58 1 1
58 2 1
58 26 1
58 27 1
58 33 1
58 39 1
58 48 1
58 67 1
58 72 1
58 74 1
58 96 1
58 97 1
59 12 1
59 18 1
59 21 1
59 27 1
59 3 1
59 36 1
59 37 1
59 40 1
59 94 1
60 11 1
60 12 1
60 37 1
60 38 1
60 47 1
60 5 1
60 55 1
60 74 1
60 83 1
61 37 1
61 53 1
61 59 1
61 6 1
61 75 1
61 81 1
61 85 1
61 89 1
61 95 1
61 97 1
62 25 1
62 27 1
62 3 1
62 38 1
62 48 1
62 59 1
62 6 1
62 63 1
62 7 1
63 12 1
63 13 1
63 16 1
63 20 1
63 25 1
63 3 1
63 32 1
63 40 1
63 46 1
63 76 1
63 82 1
63 87 1
64 12 1
64 14 1
64 30 1
64 4 1
64 63 1
64 65 1
64 69 1
64 74 1
64 77 1
64 84 1
64 85 1
64 88 1
65 12 1
65 17 1
65 36 1
65 44 1
65 46 1
65 55 1
65 61 1
65 96 1
65 99 1
66 100 1
66 13 1
66 20 1
66 27 1
66 38 1
66 84 1
66 85 1
66 9 1
66 95 1
66 99 1
67 15 1
67 35 1
67 45 1
67 61 1
67 68 1
67 72 1
67 79 1
67 82 1
67 90 1
68 12 1
68 29 1
68 61 1
68 7 1
68 71 1
68 76 1
69 15 1
69 28 1
69 33 1
69 36 1
69 41 1
69 47 1
69 70 1
69 7 1
69 72 1
69 80 1
69 85 1
70 11 1
70 12 1
70 14 1
70 2 1
70 37 1
70 39 1
70 43 1
70 50 1
70 52 1
70 53 1
70 57 1
70 64 1
70 73 1
70 76 1
70 87 1
71 19 1
71 2 1
71 51 1
71 61 1
71 92 1
72 12 1
72 15 1
72 22 1
72 40 1
72 47 1
72 48 1
72 55 1
72 79 1
72 82 1
72 97 1
73 15 1
73 22 1
73 28 1
73 29 1
73 30 1
73 35 1
73 4 1
73 41 1
73 5 1
73 79 1
73 8 1
73 88 1
73 94 1
74 3 1
74 34 1
74 40 1
74 43 1
74 48 1
74 59 1
74 6 1
74 61 1
74 62 1
74 65 1
74 66 1
74 75 1
74 77 1
74 94 1
75 11 1
75 12 1
75 23 1
75 24 1
75 35 1
75 39 1
75 62 1
75 69 1
75 73 1
75 78 1
75 79 1
75 81 1
76 12 1
76 20 1
76 25 1
76 40 1
76 5 1
76 54 1
76 60 1
76 82 1
76 83 1
76 89 1
76 97 1
77 1 1
77 12 1
77 13 1
77 20 1
77 30 1
77 31 1
77 38 1
77 49 1
77 66 1
77 73 1
77 99 1
78 12 1
78 24 1
78 25 1
78 29 1
78 35 1
78 41 1
78 50 1
78 55 1
78 60 1
78 86 1
78 9 1
79 100 1
79 13 1
79 15 1
79 28 1
79 33 1
79 34 1
79 36 1
79 42 1
79 44 1
79 45 1
79 47 1
79 51 1
79 57 1
79 59 1
79 61 1
79 63 1
79 65 1
79 68 1
79 70 1
79 77 1
79 8 1
79 85 1
79 89 1
79 95 1
79 96 1
80 11 1
80 14 1
80 19 1
80 24 1
80 28 1
80 36 1
80 41 1
80 43 1
80 60 1
80 63 1
80 84 1
80 90 1
80 91 1
81 12 1
81 19 1
81 34 1
81 56 1
81 60 1
81 63 1
81 70 1
81 84 1
81 90 1
81 95 1
82 12 1
82 21 1
82 32 1
82 48 1
82 58 1
82 66 1
82 69 1
82 74 1
82 79 1
82 87 1
82 89 1
82 90 1
82 9 1
82 91 1
82 92 1
83 24 1
83 30 1
83 56 1
83 64 1
83 69 1
83 70 1
83 78 1
83 80 1
83 82 1
83 87 1
84 21 1
84 22 1
84 25 1
84 46 1
84 51 1
84 56 1
84 76 1
84 95 1
85 12 1
85 14 1
85 22 1
85 28 1
85 30 1
85 44 1
85 45 1
85 90 1
85 99 1
86 11 1
86 15 1
86 18 1
86 29 1
86 54 1
86 58 1
86 70 1
86 88 1
86 89 1
86 97 1
87 17 1
87 26 1
87 27 1
87 36 1
87 40 1
87 42 1
87 45 1
87 58 1
87 62 1
87 67 1
87 75 1
87 98 1
88 11 1
88 12 1
88 22 1
88 30 1
88 36 1
88 40 1
88 54 1
88 59 1
88 60 1
88 70 1
88 79 1
88 81 1
88 94 1
89 12 1
89 21 1
89 31 1
89 32 1
89 49 1
89 83 1
89 88 1
89 91 1
89 96 1
90 12 1
90 32 1
90 37 1
90 55 1
90 56 1
90 60 1
90 64 1
90 76 1
90 79 1
90 96 1
91 12 1
91 32 1
91 34 1
91 5 1
91 59 1
91 73 1
91 79 1
92 12 1
92 17 1
92 26 1
92 31 1
92 4 1
92 54 1
92 85 1
92 90 1
93 12 1
93 17 1
93 21 1
93 25 1
93 45 1
93 46 1
93 49 1
93 53 1
93 79 1
94 1 1
94 20 1
94 43 1
94 5 1
94 53 1
94 58 1
94 63 1
94 69 1
94 79 1
94 80 1
95 1 1
95 18 1
95 19 1
95 31 1
95 33 1
95 4 1
95 44 1
95 46 1
95 62 1
95 75 1
95 83 1
95 93 1
96 25 1
96 41 1
96 49 1
96 56 1
96 59 1
96 78 1
96 86 1
96 88 1
96 92 1
97 10 1
97 26 1
97 29 1
97 56 1
97 57 1
97 75 1
97 79 1
97 80 1
97 81 1
97 83 1
97 92 1
97 94 1
97 95 1
97 96 1
98 15 1
98 58 1
98 63 1
98 79 1
98 8 1
98 81 1
98 90 1
99 11 1
99 17 1
99 19 1
99 28 1
99 3 1
99 37 1
99 47 1
99 68 1
99 79 1
99 8 1
100 20 1
100 21 1
100 38 1
100 49 1
100 51 1
100 72 1
100 89 1
100 97 1
